,C,g,Precision,Recall,F-Score,Support
0,1.0,0.01,0.68,0.47,0.44,45.0
1,1.0,0.02,0.65,0.67,0.64,45.0
2,1.0,0.03,0.72,0.71,0.69,45.0
3,1.0,0.04,0.74,0.73,0.72,45.0
4,1.0,0.05,0.79,0.78,0.77,45.0
5,1.0,0.060000000000000005,0.79,0.78,0.77,45.0
6,1.0,0.06999999999999999,0.76,0.76,0.75,45.0
7,1.0,0.08,0.76,0.76,0.75,45.0
8,1.0,0.09,0.76,0.76,0.75,45.0
9,1.0,0.09999999999999999,0.76,0.76,0.75,45.0
10,1.0,0.11,0.76,0.76,0.75,45.0
11,1.0,0.12,0.76,0.76,0.75,45.0
12,1.0,0.13,0.76,0.76,0.75,45.0
13,1.0,0.14,0.76,0.76,0.75,45.0
14,1.0,0.15000000000000002,0.76,0.76,0.75,45.0
15,1.0,0.16,0.76,0.76,0.75,45.0
16,1.0,0.17,0.76,0.76,0.75,45.0
17,1.0,0.18000000000000002,0.76,0.76,0.75,45.0
18,1.0,0.19,0.76,0.76,0.75,45.0
19,1.0,0.2,0.76,0.76,0.75,45.0
20,1.0,0.21000000000000002,0.76,0.76,0.75,45.0
21,1.0,0.22,0.76,0.76,0.75,45.0
22,1.0,0.23,0.76,0.76,0.75,45.0
23,1.0,0.24000000000000002,0.76,0.76,0.75,45.0
24,1.0,0.25,0.76,0.76,0.75,45.0
25,1.0,0.26,0.76,0.76,0.75,45.0
26,1.0,0.27,0.76,0.76,0.75,45.0
27,1.0,0.28,0.76,0.76,0.75,45.0
28,1.0,0.29000000000000004,0.76,0.76,0.75,45.0
29,1.0,0.3,0.76,0.76,0.75,45.0
30,1.0,0.31,0.76,0.76,0.75,45.0
31,1.0,0.32,0.76,0.76,0.75,45.0
32,1.0,0.33,0.76,0.76,0.75,45.0
33,1.0,0.34,0.76,0.76,0.75,45.0
34,1.0,0.35000000000000003,0.76,0.76,0.75,45.0
35,1.0,0.36000000000000004,0.76,0.76,0.75,45.0
36,1.0,0.37,0.76,0.76,0.75,45.0
37,1.0,0.38,0.76,0.76,0.75,45.0
38,1.0,0.39,0.76,0.76,0.75,45.0
39,1.0,0.4,0.76,0.76,0.75,45.0
40,1.0,0.41000000000000003,0.76,0.76,0.75,45.0
41,1.0,0.42000000000000004,0.76,0.76,0.75,45.0
42,1.0,0.43,0.76,0.76,0.75,45.0
43,1.0,0.44,0.76,0.76,0.75,45.0
44,1.0,0.45,0.76,0.76,0.75,45.0
